version|date|object|sn|sp|ac|pr|rc|dice|lesion_gt|lesion_found|correct_lesion|location
256_256_64|2022-10-17|liver|0.921|0.995|0.992|0.848|0.921|0.878|108|104|32|D:\LITS_segmentation\RESULTS_GABRIELLA\3D_Ynet\256_256_64\3DYnet_25625664
256_256_64|2022-10-17|tumor|0.262|0.999|0.997|0.394|0.262|0.24|108|104|32|D:\LITS_segmentation\RESULTS_GABRIELLA\3D_Ynet\256_256_64\3DYnet_25625664
